mysql> select * from esglesia where municipi is null;
+------+-----------------------------------------------------+----------+-----------+------------------------------------------------------------------+------------+-----------+------------+-----------+
| id   | nom                                                 | municipi | wikidata  | wikipedia                                                        | lat        | lon       | osm_id     | osm_tipus |
+------+-----------------------------------------------------+----------+-----------+------------------------------------------------------------------+------------+-----------+------------+-----------+
|  267 | Església de Sueix                                   | NULL     | Q17389828 | ca:Església de Sueix                                             | 42.4116365 | 0.7464321 | 7344619560 | node      |
|  275 | Església de Vilba                                   | NULL     | Q17389838 | ca:Església de Vilba                                             | 42.3850355 | 0.7865200 | 7344632111 | node      |
|  283 | Mare de Déu del Solà                                | NULL     | Q9007683  | ca:Mare de Déu del Solà                                          | 42.2067488 | 0.7581891 | 7344587046 | node      |
|  284 | Sant Cosme d'Espills                                | NULL     | Q9007016  | ca:Sant Cosme d'Espills                                          | 42.2337248 | 0.7593980 | 7333587520 | node      |
|  294 | Sant Martí de Taüll                                 | NULL     | Q11947211 | ca:Sant Martí de Taüll                                           | 42.5190831 | 0.8490830 | 7333588089 | node      |
|  296 | Sant Pere de Boí                                    | NULL     | Q11947308 | ca:Sant Pere de Boí                                              | 42.5261233 | 0.8342107 | 7333612373 | node      |
|  320 | Sant Miquel de Vilaclara                            | NULL     | Q19257485 | ca:Sant Miquel de Vilaclara                                      | 41.5895544 | 1.7493204 | 5217801206 | node      |
|  335 | Santa Anna del Saió                                 | NULL     | Q18007459 | ca:Santa Anna del Saió                                           | 41.5772809 | 1.5633135 | 7344696061 | node      |
|  348 | Sant Amanç de Viladés                               | NULL     | Q11946895 | ca:Sant Amanç de Viladés                                         | 41.7343294 | 1.6778030 | 7344689673 | node      |
|  360 | Sant Esteve de Camps                                | NULL     | Q20875862 | ca:Sant Esteve de Camps                                          | 41.7813820 | 1.6883640 | 7344691956 | node      |
|  406 | Sant Genís de la Vall dels Horts                    | NULL     | Q21622795 | ca:Sant Genís de la Vall dels Horts                              | 41.7625692 | 1.8861393 | 7344794426 | node      |
|  413 | Sant Julià de la Cirera                             | NULL     | Q21622800 | ca:Sant Julià de la Cirera                                       | 41.9244924 | 2.0203567 | 7371774556 | node      |
|  447 | Sant Andreu d'Ullà                                  | NULL     | Q18006597 | ca:Sant Andreu d'Ullà                                            | 42.0507005 | 3.1068195 | 7372425128 | node      |
|  481 | Santa Margarida de Vilarnau                         | NULL     | Q60167150 | ca:Santa Margarida de Vilarnau                                   | 41.9070756 | 3.1714580 | 7372926089 | node      |
|  501 | Santa Magdalena del Sitjar                          | NULL     | Q22227432 | ca:Santa Magdalena del Sitjar                                    | 41.3116120 | 1.9596900 | 7375199418 | node      |
